player,age,team,league,war,games,plate_appearances,at_bats,runs,hits,homeruns,runs_batted_in,stolen_bases,bases_on_balls,strikeouts,on_base_percentage,slugging_percentage,on_base_plus_slugging_percentage,adjusted_on_base_plus_slugging_percentage,total_bases,sacrifice_hits,sacrifice_flys,position
Gabriel Arias,26.0,CLE,AL,0.1,16.0,54.0,52.0,2.0,10.0,2.0,5.0,0.0,2.0,25.0,0.222,0.346,0.568,57.0,18.0,0.0,0.0,6/5
Zach Cole*,25.0,HOU,AL,-0.1,19.0,53.0,51.0,4.0,8.0,3.0,8.0,0.0,1.0,21.0,0.189,0.353,0.542,47.0,18.0,0.0,0.0,7/8H9D
Jimmy Crooks*,24.0,STL,NL,-0.4,17.0,53.0,47.0,2.0,8.0,1.0,7.0,0.0,5.0,14.0,0.264,0.277,0.541,54.0,13.0,0.0,0.0,2/DH
Braden Montgomery#,23.0,CHW,AL,0.3,14.0,53.0,48.0,8.0,12.0,2.0,7.0,0.0,4.0,14.0,0.302,0.479,0.781,115.0,23.0,0.0,1.0,9/8H
Pedro Ramírez#,22.0,CHC,NL,0.3,20.0,53.0,49.0,7.0,13.0,1.0,6.0,2.0,3.0,8.0,0.308,0.388,0.695,98.0,19.0,1.0,0.0,/4H5D
Weston Wilson,31.0,2TM,AL,-0.1,22.0,53.0,46.0,7.0,10.0,1.0,3.0,3.0,6.0,11.0,0.321,0.304,0.625,78.0,14.0,0.0,0.0,5/17H
Weston Wilson,31.0,BAL,AL,-0.1,19.0,46.0,39.0,6.0,9.0,1.0,3.0,2.0,6.0,11.0,0.348,0.333,0.681,94.0,13.0,0.0,0.0,5/1H7
Weston Wilson,31.0,SEA,AL,-0.1,3.0,7.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.143,0.143,0.286,-18.0,1.0,0.0,0.0,/57
Nick Madrigal,29.0,LAA,AL,0.5,15.0,52.0,44.0,7.0,12.0,0.0,2.0,1.0,7.0,3.0,0.385,0.295,0.68,96.0,13.0,0.0,0.0,/45DH
Alika Williams,27.0,ATH,AL,0.6,24.0,52.0,49.0,8.0,15.0,1.0,6.0,0.0,2.0,14.0,0.333,0.49,0.823,121.0,24.0,1.0,0.0,6/4H
